ticker,title,source,finbert_label,finbert_confidence,human_label,notes
JPM,"CBSH's Visa Exchange Gain to Fund Portfolio Repositioning, Boost NII",yahoo_rss,positive,0.953,,
MSFT,Nebius Group Q1 Earnings Call Highlights,yfinance:MarketBeat,positive,0.885,,
AAPL,Trump Lands In China With $16 Trillion Of CEO Power — And One Big Ask For Xi,yfinance:Benzinga,neutral,0.811,,
KO,Warren Buffett Reveals Why Berkshire's Portfolio Hasn't Changed Much in Recent Years,yfinance:Motley Fool,neutral,0.891,,
NVDA,The King’s Speech Meets the Bond Vigilantes,yahoo_rss,negative,0.521,,
NVDA,"Intel’s Run Has Gone From Strong to Surreal. Now, the Profit-Taking Debate Is Heating Up",yahoo_rss,neutral,0.534,,
NVDA,Where Will Bitcoin Be in 5 Years? BTC Forecast for 2031,yfinance:24/7 Wall St.,positive,0.902,,
MSFT,Nebius Revenue Booms On AI Computer Infrastructure Spending,yfinance:Investor's Business Daily,positive,0.675,,
AAPL,Apple criticises EU measures to help AI rivals access Google services,yahoo_rss,negative,0.914,,
V,U.S. Consumer Spending Tops $21.86T: 5 Fintech Stocks Under $75,yfinance:24/7 Wall St.,neutral,0.488,,
TSLA,‘Power-Chip’ Stock Wolfspeed Gets a New Recommendation—and the Stock Is Soaring,yahoo_rss,positive,0.940,,
AAPL,Market Chatter: Apple Backs Alphabet's Google Concerns on EU Antitrust Measures,yahoo_rss,negative,0.583,,
JPM,Goldman Sachs Arm Deepens Private Credit Push With FGI Acquisition,yfinance:Zacks,positive,0.874,,
AMZN,Walmart Reshapes Corporate Teams for AI Push,yahoo_rss,neutral,0.784,,
AAPL,"Equities Mostly Rise Intraday Amid Tech Boost, With Trump's China Visit in Focus",yahoo_rss,positive,0.911,,
AAPL,Apple Stock Is Gaining Today: What's Happening Behind The Scenes?,yahoo_rss,positive,0.702,,
AAPL,Intel Foundry's $1 Trillion Upside,yahoo_rss,positive,0.926,,
NVDA,Nebius stock soars as revenue jumps 684% on booming data center demand,yfinance:Yahoo Finance,positive,0.936,,
NVDA,Inflation Data Makes Rate Cuts Even More of a Fantasy,yfinance:Moby,neutral,0.899,,
TSLA,10 Consumer Discretionary Stocks With Whale Alerts In Today's Session,yfinance:Benzinga,neutral,0.843,,
JPM,"EXCLUSIVE: SpaceX Could Trade At 'Meme-Stock Velocity' — But With Real Fundamentals, Says Ex-JPMorgan Exec",yahoo_rss,neutral,0.894,,
KO,Russell 1000 Dividend ETF Hits $125 as Johnson & Johnson Leads The Safety Test,yahoo_rss,neutral,0.698,,
TSLA,Ford Is Up 7% Today: Is It Outperforming Other Car Stocks Like General Motors and Tesla?,yahoo_rss,positive,0.954,,
MSFT,RGTI Hits Technical Milestones Amid Early Demand: Time to Buy or Hold?,yahoo_rss,positive,0.617,,
JPM,JPMorgan Chase Files To Launch Tokenized Fund,yahoo_rss,neutral,0.836,,
V,Can Visa's Flexible Credential Make Card Payments Smarter in the U.K.?,yahoo_rss,neutral,0.823,,
AMZN,Anthropic's Most Controversial AI Is Expanding Fast,yahoo_rss,positive,0.780,,
NVDA,"Intel’s Run Has Gone From Strong to Surreal. Now, the Profit-Taking Debate Is Heating Up",yfinance:24/7 Wall St.,neutral,0.534,,
META,Why One Brazil Fund Opened an $11 Million Position in MercadoLibre Despite a Steep One-Year Stock Drop,yfinance:Motley Fool,positive,0.485,,
JPM,Can Branch Expansion Give Bank of America an Edge in the AI Era?,yfinance:Zacks,positive,0.928,,
